"id","a4a","a6a","a2","a0","b1","b5","b7a","d1a1x","g1a","BMj4c","j30_environment_pos","BMj5","n2a","n2e","n2b","n2f","n2i","n2p","BMGa1","BMGa2","BMGa4","BMGb1","BMGb2","BMGc2","BMGc5","BMGc7","BMGc8","BMGc16","BMGc18","BMGc23a","BMGc23b","BMGc23c","BMGc23d","BMGc23e","BMGc23f","BMGc23g","BMGc23h","BMGc23i","BMGc23j","BMGc24","BMGc25","BMGc27","BMGd6","BMGd7","BMGe1","BMGe2","BMGe2u"
"22","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2007","Нет","Производство Готовых Строительных Металлических Изделий И Конструкций","0","Среднее препятствие","4","Информационные и Коммуникационные Технологии ","4000000","3500000","500000","400000","","7700000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Да","Да","Да","Нет","Модернизация машин и оборудования","Да","","Нет","Нет","100000","20000","Литры"
"29","Машины и оборудование","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Производство Насосов И Компрессоров","0","Среднее препятствие","3","Образование","150000000","250000000","1000000","1000000","","410000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Модернизация машин и оборудования","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","160000","18500","Литры"
"34","Другое Производство","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Производство Алюминиевых И Медных Проводов, Силовых Кабелей","100","Незначительное препятствие","1","Энергетика","18000000","78000000","1800000","1200000","","100000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Не знаю","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","Не знаю",""
"50","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2015","Нет","Строительство жилых и нежилых зданий","0","Не является препятствием","6","Другое","8000000","","370000","650000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Операционный и/ или технический риск","Нет","Нет","Не знаю","Не знаю",""
"56","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Оптовая Продажа Офисной Мебели","0","Среднее препятствие","6","Образование","2000000","","500000","500000","","","Да","Нет","Нет","Нет","Нет","Каждый квартал","","Нет","","Нет","Нет","Не применимо","Не применимо","Да","Да","Не применимо","Нет","Не применимо","Не применимо","Да","Не применимо","Модернизация машин и оборудования","Нет","Нехватка финансовых ресурсов","Нет","Нет","100000","10000","Литры"
"90","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Да","Оптовая Торговля Промышленным Электрооборудованием","0","Не является препятствием","9","Не знаю","90000000","","800000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","Каждую неделю","","Нет","","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Нет","","Да","","Нет","Нет","Не знаю","Не знаю",""
"103","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Гостиничная Деятельность","0","Незначительное препятствие","4","Транспорт","5000000","","500000","300000","","","Нет","Нет","Нет","Нет","Нет","Каждый квартал","","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Нет","Нет","Да","Нет","Управление энергопотреблением","Да","","Нет","Нет","80000","5500","Литры"
"126","Розничная торговля","Малый","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1994","Нет","Розничная Торговля Запасными Частями и Комплектующими Для Стиральных Машин, Холодильников, Пылесосов, Другой Бытовой Техники.","Не применимо","Не является препятствием","7","Транспорт","5600000","","78000","288000","18000000","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Нет","Не знаю","Нет","Нет","7800","Не знаю",""
"135","Другое Производство","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Компания производит Различные Резиновые изделия: Удлинители колесных арок автомобилей, Профили Для Модульных Грязеочистительных ковров, Светопрозрачные уплотнители Для Теплиц, Бассейнов, Противоскользящие накладки для ног, Уплотнения Для Воздуховодов Вентиляторных систем, Уплотнители для Ворот","100","Не является препятствием","2","Энергетика","63000000","120000000","7000000","1500000","","195000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Нет","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Да","","Нет","Нет","Не знаю","30000","Литры"
"139","Неметаллические Минеральные продукты","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Производство товарного бетона","100","Незначительное препятствие","5","Образование","64000000","300000000","3000000","11000000","","480000000","Нет","Нет","Нет","Нет","Нет","Каждый квартал","Каждый квартал","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Да","Да","Да","Нет","Модернизация машин и оборудования","Да","","Нет","Нет","500000","200000","Литры"
